year,state,naics_sector,tech_type,use_level,used_tech,n_firms,n_emp,revenue,payroll
2018,13,Total,specialized software,Don't know,Unknown,8970,433170,0,26855364
2018,13,Total,robotics,Did not use,Did not use,131726,1895924,0,84639730
2018,13,Total,robotics,"Tested, but did not use in production or service",Tested only,487,54638,0,3938132
2018,13,Total,robotics,Low use,Used,1425,277807,0,18249024
2018,13,Total,robotics,Moderate use,Used,1384,96499,0,6991601
2018,13,Total,robotics,High use,Used,475,132793,0,5452101
2018,13,Total,robotics,Don't know,Unknown,6373,468054,0,29148562
2018,13,Total,specialized equipment,Did not use,Did not use,105538,1382928,0,60453842
2018,13,Total,specialized equipment,"Tested, but did not use in production or service",Tested only,579,13857,0,973581
2018,13,Total,specialized equipment,Low use,Used,5916,177135,0,8454765
2018,13,Total,specialized equipment,Moderate use,Used,11211,332210,0,17903384
2018,13,Total,specialized equipment,High use,Used,9067,480306,0,28528161
2018,13,Total,specialized equipment,Don't know,Unknown,9566,538804,0,32063279
2018,15,Total,artificial intelligence,High use,Used,0,0,0,0
2018,15,Total,artificial intelligence,Don't know,Unknown,1444,53008,0,2068358
2018,15,Total,cloud-based,Did not use,Did not use,11663,130388,0,5241183
2018,15,Total,cloud-based,"Tested, but did not use in production or service",Tested only,0,0,0,0
2018,15,Total,cloud-based,Low use,Used,1858,26299,0,937190
2018,15,Total,cloud-based,Moderate use,Used,1916,51303,0,2794698
2018,15,Total,cloud-based,High use,Used,1939,67341,0,3823270
2018,15,Total,cloud-based,Don't know,Unknown,1594,43746,0,1675748
2018,15,Total,specialized software,Did not use,Did not use,11107,119799,0,4809024
2018,15,Total,specialized software,"Tested, but did not use in production or service",Tested only,0,0,0,0
2018,15,Total,specialized software,Low use,Used,1172,18529,0,751800
2018,15,Total,specialized software,Moderate use,Used,2362,48741,0,2856298
2018,15,Total,specialized software,High use,Used,2717,84692,0,4258761
2018,15,Total,specialized software,Don't know,Unknown,1527,46875,0,1740969
2018,15,Total,robotics,Did not use,Did not use,17810,251489,0,11416027
2018,15,Total,robotics,"Tested, but did not use in production or service",Tested only,29,4856,0,272792
2018,15,Total,robotics,Low use,Used,161,16959,0,926362
2018,15,Total,robotics,Moderate use,Used,122,5125,0,332494
2018,15,Total,robotics,High use,Used,29,8442,0,340401
2018,15,Total,robotics,Don't know,Unknown,993,33763,0,1261960
2018,15,Total,specialized equipment,Did not use,Did not use,14517,198621,0,9011906
2018,15,Total,specialized equipment,"Tested, but did not use in production or service",Tested only,165,3473,0,169488
2018,15,Total,specialized equipment,Low use,Used,1168,22452,0,996875
2018,15,Total,specialized equipment,Moderate use,Used,1157,30799,0,1763510
2018,15,Total,specialized equipment,High use,Used,788,26540,0,1106504
2018,15,Total,specialized equipment,Don't know,Unknown,1352,38744,0,1501587
2018,15,Total,artificial intelligence,Did not use,Did not use,16849,238779,0,11062212
2018,15,Total,artificial intelligence,"Tested, but did not use in production or service",Tested only,72,4541,0,257972
2018,15,Total,artificial intelligence,Low use,Used,535,16230,0,718016
2018,15,Total,artificial intelligence,Moderate use,Used,185,7384,0,408329
2018,16,Total,artificial intelligence,Did not use,Did not use,32450,335236,0,12833000
2018,16,Total,artificial intelligence,"Tested, but did not use in production or service",Tested only,143,14573,0,1899223
2018,16,Total,artificial intelligence,Low use,Used,462,32731,0,1688979
2018,16,Total,artificial intelligence,Moderate use,Used,283,4370,0,228015
2018,16,Total,artificial intelligence,High use,Used,87,4226,0,296408
2018,16,Total,artificial intelligence,Don't know,Unknown,2062,61146,0,3306474
2018,16,Total,cloud-based,Did not use,Did not use,22204,162861,0,5445732
2018,16,Total,cloud-based,"Tested, but did not use in production or service",Tested only,197,2645,0,99149
2018,16,Total,cloud-based,Low use,Used,3853,67603,0,4171479
2018,16,Total,cloud-based,Moderate use,Used,4073,91119,0,4339397
2018,16,Total,cloud-based,High use,Used,3296,75970,0,3191729
2018,16,Total,cloud-based,Don't know,Unknown,2071,53003,0,3042502
2018,16,Total,specialized software,Did not use,Did not use,18966,134976,0,4418120
2018,16,Total,specialized software,"Tested, but did not use in production or service",Tested only,0,0,0,0
2018,16,Total,specialized software,Low use,Used,2510,40821,0,1552120
2018,16,Total,specialized software,Moderate use,Used,5398,99941,0,4357939
2018,16,Total,specialized software,High use,Used,6114,120797,0,6652780
2018,16,Total,specialized software,Don't know,Unknown,2113,52001,0,3138964
2018,16,Total,robotics,Did not use,Did not use,33597,320965,0,11638071
2018,16,Total,robotics,"Tested, but did not use in production or service",Tested only,66,6716,0,450775
2018,16,Total,robotics,Low use,Used,459,23806,0,1510982
2018,16,Total,robotics,Moderate use,Used,343,19346,0,1204048
2018,16,Total,robotics,High use,Used,115,25342,0,2277302
2018,16,Total,robotics,Don't know,Unknown,1118,56272,0,3195952
2018,16,Total,specialized equipment,Moderate use,Used,2473,57970,0,2906163
