state,naics_sector,impact,n_firms,n_emp
56,00,"Not applicable, did not employ workers with STEM skills",0,0
01,11,Increased number of workers employed by this business,0,0
01,11,Decreased number of workers employed by this business,0,0
01,11,Did not change number of workers employed by this business,0,0
01,11,Increased skill level of workers employed by this business,0,0
01,11,Decreased skill level of workers employed by this business,0,0
01,11,Did not change skill level of workers employed by this business,0,0
01,11,Increased STEM skills of workers employed by this business,0,0
01,11,Decreased STEM skills of workers employed by this business,0,0
01,11,Did not change STEM skills of workers employed by this business,0,0
01,11,"Not applicable, did not employ workers with STEM skills",0,0
02,11,Increased number of workers employed by this business,0,0
02,11,Decreased number of workers employed by this business,0,0
02,11,Did not change number of workers employed by this business,0,0
02,11,Increased skill level of workers employed by this business,0,0
02,11,Decreased skill level of workers employed by this business,0,0
02,11,Did not change skill level of workers employed by this business,0,0
02,11,Increased STEM skills of workers employed by this business,0,0
02,11,"Not applicable, did not employ workers with STEM skills",0,0
02,11,Decreased STEM skills of workers employed by this business,0,0
02,11,Did not change STEM skills of workers employed by this business,0,0
04,11,Increased number of workers employed by this business,0,0
04,11,Decreased number of workers employed by this business,0,0
04,11,Did not change number of workers employed by this business,0,0
04,11,Increased skill level of workers employed by this business,0,0
04,11,Decreased skill level of workers employed by this business,0,0
04,11,Did not change STEM skills of workers employed by this business,0,0
04,11,Did not change skill level of workers employed by this business,0,0
04,11,Increased STEM skills of workers employed by this business,0,0
04,11,Decreased STEM skills of workers employed by this business,0,0
04,11,"Not applicable, did not employ workers with STEM skills",0,0
05,11,Decreased number of workers employed by this business,0,0
05,11,Increased number of workers employed by this business,0,0
05,11,Did not change number of workers employed by this business,0,0
05,11,Increased skill level of workers employed by this business,0,0
05,11,Decreased skill level of workers employed by this business,0,0
05,11,Did not change skill level of workers employed by this business,0,0
05,11,Increased STEM skills of workers employed by this business,0,0
05,11,Decreased STEM skills of workers employed by this business,0,0
05,11,Did not change STEM skills of workers employed by this business,0,0
05,11,"Not applicable, did not employ workers with STEM skills",0,0
06,11,Increased number of workers employed by this business,0,0
06,11,Decreased number of workers employed by this business,0,0
06,11,Did not change number of workers employed by this business,0,0
